Event ID	SimConnect Name	Description	Multiplayer
KEY_THROTTLE_FULL	THROTTLE_FULL	Set throttles max	Shared Cockpit
KEY_THROTTLE_INCR	THROTTLE_INCR	Increment throttles	Shared Cockpit
KEY_THROTTLE_INCR_SMALL	THROTTLE_INCR_SMALL	Increment throttles small	Shared Cockpit
KEY_THROTTLE_DECR	THROTTLE_DECR	Decrement throttles	Shared Cockpit
KEY_THROTTLE_DECR_SMALL	THROTTLE_DECR_SMALL	Decrease throttles small	Shared Cockpit
KEY_THROTTLE_CUT	THROTTLE_CUT	Set throttles to idle	Shared Cockpit
KEY_INCREASE_THROTTLE	INCREASE_THROTTLE	Increment throttles	Shared Cockpit
KEY_DECREASE_THROTTLE	DECREASE_THROTTLE	Decrement throttles	Shared Cockpit
KEY_THROTTLE_SET	THROTTLE_SET	Set throttles exactly (0- 16383)	Shared Cockpit
KEY_AXIS_THROTTLE_SET	AXIS_THROTTLE_SET	Set throttles (0- 16383)	Shared Cockpit (Pilot only, transmitted to Co-pilot if in a helicopter, not-transmitted otherwise).
KEY_THROTTLE1_SET	THROTTLE1_SET	Set throttle 1 exactly (0 to 16383)	Shared Cockpit
KEY_THROTTLE2_SET	THROTTLE2_SET	Set throttle 2 exactly (0 to 16383)	Shared Cockpit
KEY_THROTTLE3_SET	THROTTLE3_SET	Set throttle 3 exactly (0 to 16383)	Shared Cockpit
KEY_THROTTLE4_SET	THROTTLE4_SET	Set throttle 4 exactly (0 to 16383)	Shared Cockpit
KEY_THROTTLE1_FULL	THROTTLE1_FULL	Set throttle 1 max	Shared Cockpit
KEY_THROTTLE1_INCR	THROTTLE1_INCR	Increment throttle 1	Shared Cockpit
KEY_THROTTLE1_INCR_SMALL	THROTTLE1_INCR_SMALL	Increment throttle 1 small	Shared Cockpit
KEY_THROTTLE1_DECR	THROTTLE1_DECR	Decrement throttle 1	Shared Cockpit
KEY_THROTTLE1_CUT	THROTTLE1_CUT	Set throttle 1 to idle	Shared Cockpit
KEY_THROTTLE2_FULL	THROTTLE2_FULL	Set throttle 2 max	Shared Cockpit
KEY_THROTTLE2_INCR	THROTTLE2_INCR	Increment throttle 2	Shared Cockpit
KEY_THROTTLE2_INCR_SMALL	THROTTLE2_INCR_SMALL	Increment throttle 2 small	Shared Cockpit
KEY_THROTTLE2_DECR	THROTTLE2_DECR	Decrement throttle 2	Shared Cockpit
KEY_THROTTLE2_CUT	THROTTLE2_CUT	Set throttle 2 to idle	Shared Cockpit
KEY_THROTTLE3_FULL	THROTTLE3_FULL	Set throttle 3 max	Shared Cockpit
KEY_THROTTLE3_INCR	THROTTLE3_INCR	Increment throttle 3	Shared Cockpit
KEY_THROTTLE3_INCR_SMALL	THROTTLE3_INCR_SMALL	Increment throttle 3 small	Shared Cockpit
KEY_THROTTLE3_DECR	THROTTLE3_DECR	Decrement throttle 3	Shared Cockpit
KEY_THROTTLE3_CUT	THROTTLE3_CUT	Set throttle 3 to idle	Shared Cockpit
KEY_THROTTLE4_FULL	THROTTLE4_FULL	Set throttle 1 max	Shared Cockpit
KEY_THROTTLE4_INCR	THROTTLE4_INCR	Increment throttle 4	Shared Cockpit
KEY_THROTTLE4_INCR_SMALL	THROTTLE4_INCR_SMALL	Increment throttle 4 small	Shared Cockpit
KEY_THROTTLE4_DECR	THROTTLE4_DECR	Decrement throttle 4	Shared Cockpit
KEY_THROTTLE4_CUT	THROTTLE4_CUT	Set throttle 4 to idle	Shared Cockpit
KEY_THROTTLE_10	THROTTLE_10	Set throttles to 10%	Shared Cockpit
KEY_THROTTLE_20	THROTTLE_20	Set throttles to 20%	Shared Cockpit
KEY_THROTTLE_30	THROTTLE_30	Set throttles to 30%	Shared Cockpit
KEY_THROTTLE_40	THROTTLE_40	Set throttles to 40%	Shared Cockpit
KEY_THROTTLE_50	THROTTLE_50	Set throttles to 50%	Shared Cockpit
KEY_THROTTLE_60	THROTTLE_60	Set throttles to 60%	Shared Cockpit
KEY_THROTTLE_70	THROTTLE_70	Set throttles to 70%	Shared Cockpit
KEY_THROTTLE_80	THROTTLE_80	Set throttles to 80%	Shared Cockpit
KEY_THROTTLE_90	THROTTLE_90	Set throttles to 90%	Shared Cockpit
KEY_AXIS_THROTTLE1_SET	AXIS_THROTTLE1_SET	Set throttle 1 exactly (-16383 - +16383)	Shared Cockpit
KEY_AXIS_THROTTLE2_SET	AXIS_THROTTLE2_SET	Set throttle 2 exactly (-16383 - +16383)	Shared Cockpit
KEY_AXIS_THROTTLE3_SET	AXIS_THROTTLE3_SET	Set throttle 3 exactly (-16383 - +16383)	Shared Cockpit
KEY_AXIS_THROTTLE4_SET	AXIS_THROTTLE4_SET	Set throttle 4 exactly (-16383 - +16383)	Shared Cockpit
KEY_THROTTLE1_DECR_SMALL	THROTTLE1_DECR_SMALL	Decrease throttle 1 small	Shared Cockpit
KEY_THROTTLE2_DECR_SMALL	THROTTLE2_DECR_SMALL	Decrease throttle 2 small	Shared Cockpit
KEY_THROTTLE3_DECR_SMALL	THROTTLE3_DECR_SMALL	Decrease throttle 3 small	Shared Cockpit
KEY_THROTTLE4_DECR_SMALL	THROTTLE4_DECR_SMALL	Decrease throttle 4 small	Shared Cockpit
KEY_PROP_PITCH_DECR_SMALL	PROP_PITCH_DECR_SMALL	Decrease prop levers small	Shared Cockpit
KEY_PROP_PITCH1_DECR_SMALL	PROP_PITCH1_DECR_SMALL	Decrease prop lever 1 small	Shared Cockpit
KEY_PROP_PITCH2_DECR_SMALL	PROP_PITCH2_DECR_SMALL	Decrease prop lever 2 small	Shared Cockpit
KEY_PROP_PITCH3_DECR_SMALL	PROP_PITCH3_DECR_SMALL	Decrease prop lever 3 small	Shared Cockpit
KEY_PROP_PITCH4_DECR_SMALL	PROP_PITCH4_DECR_SMALL	Decrease prop lever 4 small	Shared Cockpit
KEY_MIXTURE1_RICH	MIXTURE1_RICH	Set mixture lever 1 to max rich	Shared Cockpit
KEY_MIXTURE1_INCR	MIXTURE1_INCR	Increment mixture lever 1	Shared Cockpit
KEY_MIXTURE1_INCR_SMALL	MIXTURE1_INCR_SMALL	Increment mixture lever 1 small	Shared Cockpit
KEY_MIXTURE1_DECR	MIXTURE1_DECR	Decrement mixture lever 1	Shared Cockpit
KEY_MIXTURE1_LEAN	MIXTURE1_LEAN	Set mixture lever 1 to max lean	Shared Cockpit
KEY_MIXTURE2_RICH	MIXTURE2_RICH	Set mixture lever 2 to max rich	Shared Cockpit
KEY_MIXTURE2_INCR	MIXTURE2_INCR	Increment mixture lever 2	Shared Cockpit
KEY_MIXTURE2_INCR_SMALL	MIXTURE2_INCR_SMALL	Increment mixture lever 2 small	Shared Cockpit
KEY_MIXTURE2_DECR	MIXTURE2_DECR	Decrement mixture lever 2	Shared Cockpit
KEY_MIXTURE2_LEAN	MIXTURE2_LEAN	Set mixture lever 2 to max lean	Shared Cockpit
KEY_MIXTURE3_RICH	MIXTURE3_RICH	Set mixture lever 3 to max rich	Shared Cockpit
KEY_MIXTURE3_INCR	MIXTURE3_INCR	Increment mixture lever 3	Shared Cockpit
KEY_MIXTURE3_INCR_SMALL	MIXTURE3_INCR_SMALL	Increment mixture lever 3 small	Shared Cockpit
KEY_MIXTURE3_DECR	MIXTURE3_DECR	Decrement mixture lever 3	Shared Cockpit
KEY_MIXTURE3_LEAN	MIXTURE3_LEAN	Set mixture lever 3 to max lean	Shared Cockpit
KEY_MIXTURE4_RICH	MIXTURE4_RICH	Set mixture lever 4 to max rich	Shared Cockpit
KEY_MIXTURE4_INCR	MIXTURE4_INCR	Increment mixture lever 4	Shared Cockpit
KEY_MIXTURE4_INCR_SMALL	MIXTURE4_INCR_SMALL	Increment mixture lever 4 small	Shared Cockpit
KEY_MIXTURE4_DECR	MIXTURE4_DECR	Decrement mixture lever 4	Shared Cockpit
KEY_MIXTURE4_LEAN	MIXTURE4_LEAN	Set mixture lever 4 to max lean	Shared Cockpit
KEY_MIXTURE_SET	MIXTURE_SET	Set mixture levers to exact value (0 to 16383)	Shared Cockpit
KEY_MIXTURE_RICH	MIXTURE_RICH	Set mixture levers to max rich	Shared Cockpit
KEY_MIXTURE_INCR	MIXTURE_INCR	Increment mixture levers	Shared Cockpit
KEY_MIXTURE_INCR_SMALL	MIXTURE_INCR_SMALL	Increment mixture levers small	Shared Cockpit
KEY_MIXTURE_DECR	MIXTURE_DECR	Decrement mixture levers	Shared Cockpit
KEY_MIXTURE_LEAN	MIXTURE_LEAN	Set mixture levers to max lean	Shared Cockpit
KEY_MIXTURE1_SET	MIXTURE1_SET	Set mixture lever 1 exact value (0 to 16383)	Shared Cockpit
KEY_MIXTURE2_SET	MIXTURE2_SET	Set mixture lever 2 exact value (0 to 16383)	Shared Cockpit
KEY_MIXTURE3_SET	MIXTURE3_SET	Set mixture lever 3 exact value (0 to 16383)	Shared Cockpit
KEY_MIXTURE4_SET	MIXTURE4_SET	Set mixture lever 4 exact value (0 to 16383)	Shared Cockpit
KEY_AXIS_MIXTURE_SET	AXIS_MIXTURE_SET	Set mixture lever 1 exact value (-16383 to +16383)	Shared Cockpit
KEY_AXIS_MIXTURE1_SET	AXIS_MIXTURE1_SET	Set mixture lever 1 exact value (-16383 to +16383)	Shared Cockpit
KEY_AXIS_MIXTURE2_SET	AXIS_MIXTURE2_SET	Set mixture lever 2 exact value (-16383 to +16383)	Shared Cockpit
KEY_AXIS_MIXTURE3_SET	AXIS_MIXTURE3_SET	Set mixture lever 3 exact value (-16383 to +16383)	Shared Cockpit
KEY_AXIS_MIXTURE4_SET	AXIS_MIXTURE4_SET	Set mixture lever 4 exact value (-16383 to +16383)	Shared Cockpit
KEY_MIXTURE_SET_BEST	MIXTURE_SET_BEST	Set mixture levers to current best power setting	Shared Cockpit
KEY_MIXTURE_DECR_SMALL	MIXTURE_DECR_SMALL	Decrement mixture levers small	Shared Cockpit
KEY_MIXTURE1_DECR_SMALL	MIXTURE1_DECR_SMALL	Decrement mixture lever 1 small	Shared Cockpit
KEY_MIXTURE2_DECR_SMALL	MIXTURE2_DECR_SMALL	Decrement mixture lever 4 small	Shared Cockpit
KEY_MIXTURE3_DECR_SMALL	MIXTURE3_DECR_SMALL	Decrement mixture lever 4 small	Shared Cockpit
KEY_MIXTURE4_DECR_SMALL	MIXTURE4_DECR_SMALL	Decrement mixture lever 4 small	Shared Cockpit
KEY_PROP_PITCH_SET	PROP_PITCH_SET	Set prop pitch levers (0 to 16383)	Shared Cockpit
KEY_PROP_PITCH_LO	PROP_PITCH_LO	Set prop pitch levers max (lo pitch)	Shared Cockpit
KEY_PROP_PITCH_INCR	PROP_PITCH_INCR	Increment prop pitch levers	Shared Cockpit
KEY_PROP_PITCH_INCR_SMALL	PROP_PITCH_INCR_SMALL	Increment prop pitch levers small	Shared Cockpit
KEY_PROP_PITCH_DECR	PROP_PITCH_DECR	Decrement prop pitch levers	Shared Cockpit
KEY_PROP_PITCH_HI	PROP_PITCH_HI	Set prop pitch levers min (hi pitch)	Shared Cockpit
KEY_PROP_PITCH1_SET	PROP_PITCH1_SET	Set prop pitch lever 1 exact value (0 to 16383)	Shared Cockpit
KEY_PROP_PITCH2_SET	PROP_PITCH2_SET	Set prop pitch lever 2 exact value (0 to 16383)	Shared Cockpit
KEY_PROP_PITCH3_SET	PROP_PITCH3_SET	Set prop pitch lever 3 exact value (0 to 16383)	Shared Cockpit
KEY_PROP_PITCH4_SET	PROP_PITCH4_SET	Set prop pitch lever 4 exact value (0 to 16383)	Shared Cockpit
KEY_PROP_PITCH1_LO	PROP_PITCH1_LO	Set prop pitch lever 1 max (lo pitch)	Shared Cockpit
KEY_PROP_PITCH1_INCR	PROP_PITCH1_INCR	Increment prop pitch lever 1	Shared Cockpit
KEY_PROP_PITCH1_INCR_SMALL	PROP_PITCH1_INCR_SMALL	Increment prop pitch lever 1 small	Shared Cockpit
KEY_PROP_PITCH1_DECR	PROP_PITCH1_DECR	Decrement prop pitch lever 1	Shared Cockpit
KEY_PROP_PITCH1_HI	PROP_PITCH1_HI	Set prop pitch lever 1 min (hi pitch)	Shared Cockpit
KEY_PROP_PITCH2_LO	PROP_PITCH2_LO	Set prop pitch lever 2 max (lo pitch)	Shared Cockpit
KEY_PROP_PITCH2_INCR	PROP_PITCH2_INCR	Increment prop pitch lever 2	Shared Cockpit
KEY_PROP_PITCH2_INCR_SMALL	PROP_PITCH2_INCR_SMALL	Increment prop pitch lever 2 small	Shared Cockpit
KEY_PROP_PITCH2_DECR	PROP_PITCH2_DECR	Decrement prop pitch lever 2	Shared Cockpit
KEY_PROP_PITCH2_HI	PROP_PITCH2_HI	Set prop pitch lever 2 min (hi pitch)	Shared Cockpit
KEY_PROP_PITCH3_LO	PROP_PITCH3_LO	Set prop pitch lever 3 max (lo pitch)	Shared Cockpit
KEY_PROP_PITCH3_INCR	PROP_PITCH3_INCR	Increment prop pitch lever 3	Shared Cockpit
KEY_PROP_PITCH3_INCR_SMALL	PROP_PITCH3_INCR_SMALL	Increment prop pitch lever 3 small	Shared Cockpit
KEY_PROP_PITCH3_DECR	PROP_PITCH3_DECR	Decrement prop pitch lever 3	Shared Cockpit
KEY_PROP_PITCH3_HI	PROP_PITCH3_HI	Set prop pitch lever 3 min (hi pitch)	Shared Cockpit
KEY_PROP_PITCH4_LO	PROP_PITCH4_LO	Set prop pitch lever 4 max (lo pitch)	Shared Cockpit
KEY_PROP_PITCH4_INCR	PROP_PITCH4_INCR	Increment prop pitch lever 4	Shared Cockpit
KEY_PROP_PITCH4_INCR_SMALL	PROP_PITCH4_INCR_SMALL	Increment prop pitch lever 4 small	Shared Cockpit
KEY_PROP_PITCH4_DECR	PROP_PITCH4_DECR	Decrement prop pitch lever 4	Shared Cockpit
KEY_PROP_PITCH4_HI	PROP_PITCH4_HI	Set prop pitch lever 4 min (hi pitch)	Shared Cockpit
KEY_AXIS_PROPELLER_SET	AXIS_PROPELLER_SET	Set propeller levers exact value (-16383 to +16383)	Shared Cockpit
KEY_AXIS_PROPELLER1_SET	AXIS_PROPELLER1_SET	Set propeller lever 1 exact value (-16383 to +16383)	Shared Cockpit
KEY_AXIS_PROPELLER2_SET	AXIS_PROPELLER2_SET	Set propeller lever 2 exact value (-16383 to +16383)	Shared Cockpit
KEY_AXIS_PROPELLER3_SET	AXIS_PROPELLER3_SET	Set propeller lever 3 exact value (-16383 to +16383)	Shared Cockpit
KEY_AXIS_PROPELLER4_SET	AXIS_PROPELLER4_SET	Set propeller lever 4 exact value (-16383 to +16383)	Shared Cockpit
KEY_JET_STARTER	JET_STARTER	Selects jet engine starter (for +/- sequence)	Shared Cockpit
KEY_STARTER_SET	MAGNETO_SET	Sets magnetos (0,1)	Shared Cockpit
KEY_TOGGLE_STARTER1	TOGGLE_STARTER1	Toggle starter 1	Shared Cockpit
KEY_TOGGLE_STARTER2	TOGGLE_STARTER2	Toggle starter 2	Shared Cockpit
KEY_TOGGLE_STARTER3	TOGGLE_STARTER3	Toggle starter 3	Shared Cockpit
KEY_TOGGLE_STARTER4	TOGGLE_STARTER4	Toggle starter 4	Shared Cockpit
KEY_TOGGLE_ALL_STARTERS	TOGGLE_ALL_STARTERS	Toggle starters	Shared Cockpit
KEY_ENGINE_AUTO_START	ENGINE_AUTO_START	Triggers auto-start	Shared Cockpit
KEY_ENGINE_AUTO_SHUTDOWN	ENGINE_AUTO_SHUTDOWN	Triggers auto-shutdown	Shared Cockpit
KEY_MAGNETO	MAGNETO	Selects magnetos (for +/- sequence)	Shared Cockpit
KEY_MAGNETO_DECR	MAGNETO_DECR	Decrease magneto switches positions	Shared Cockpit
KEY_MAGNETO_INCR	MAGNETO_INCR	Increase magneto switches positions	Shared Cockpit
KEY_MAGNETO1_OFF	MAGNETO1_OFF	Set engine 1 magnetos off	Shared Cockpit
KEY_MAGNETO1_RIGHT	MAGNETO1_RIGHT	Toggle engine 1 right magneto	All aircraft
KEY_MAGNETO1_LEFT	MAGNETO1_LEFT	Toggle engine 1 left magneto	All aircraft
KEY_MAGNETO1_BOTH	MAGNETO1_BOTH	Set engine 1 magnetos on	Shared Cockpit
KEY_MAGNETO1_START	MAGNETO1_START	Set engine 1 magnetos on and toggle starter	Shared Cockpit
KEY_MAGNETO2_OFF	MAGNETO2_OFF	Set engine 2 magnetos off	Shared Cockpit
KEY_MAGNETO2_RIGHT	MAGNETO2_RIGHT	Toggle engine 2 right magneto	All aircraft
KEY_MAGNETO2_LEFT	MAGNETO2_LEFT	Toggle engine 2 left magneto	All aircraft
KEY_MAGNETO2_BOTH	MAGNETO2_BOTH	Set engine 2 magnetos on	Shared Cockpit
KEY_MAGNETO2_START	MAGNETO2_START	Set engine 2 magnetos on and toggle starter	Shared Cockpit
KEY_MAGNETO3_OFF	MAGNETO3_OFF	Set engine 3 magnetos off	Shared Cockpit
KEY_MAGNETO3_RIGHT	MAGNETO3_RIGHT	Toggle engine 3 right magneto	All aircraft
KEY_MAGNETO3_LEFT	MAGNETO3_LEFT	Toggle engine 3 left magneto	All aircraft
KEY_MAGNETO3_BOTH	MAGNETO3_BOTH	Set engine 3 magnetos on	Shared Cockpit
KEY_MAGNETO3_START	MAGNETO3_START	Set engine 3 magnetos on and toggle starter	Shared Cockpit
KEY_MAGNETO4_OFF	MAGNETO4_OFF	Set engine 4 magnetos off	Shared Cockpit
KEY_MAGNETO4_RIGHT	MAGNETO4_RIGHT	Toggle engine 4 right magneto	All aircraft
KEY_MAGNETO4_LEFT	MAGNETO4_LEFT	Toggle engine 4 left magneto	All aircraft
KEY_MAGNETO4_BOTH	MAGNETO4_BOTH	Set engine 4 magnetos on	Shared Cockpit
KEY_MAGNETO4_START	MAGNETO4_START	Set engine 4 magnetos on and toggle starter	Shared Cockpit
KEY_MAGNETO_OFF	MAGNETO_OFF	Set engine magnetos off	Shared Cockpit
KEY_MAGNETO_RIGHT	MAGNETO_RIGHT	Set engine right magnetos on	Shared Cockpit
KEY_MAGNETO_LEFT	MAGNETO_LEFT	Set engine left magnetos on	Shared Cockpit
KEY_MAGNETO_BOTH	MAGNETO_BOTH	Set engine magnetos on	Shared Cockpit
KEY_MAGNETO_START	MAGNETO_START	Set engine magnetos on and toggle starters	Shared Cockpit
KEY_MAGNETO1_DECR	MAGNETO1_DECR	Decrease engine 1 magneto switch position	Shared Cockpit
KEY_MAGNETO1_INCR	MAGNETO1_INCR	Increase engine 1 magneto switch position	Shared Cockpit
KEY_MAGNETO2_DECR	MAGNETO2_DECR	Decrease engine 2 magneto switch position	Shared Cockpit
KEY_MAGNETO2_INCR	MAGNETO2_INCR	Increase engine 2 magneto switch position	Shared Cockpit
KEY_MAGNETO3_DECR	MAGNETO3_DECR	Decrease engine 3 magneto switch position	Shared Cockpit
KEY_MAGNETO3_INCR	MAGNETO3_INCR	Increase engine 3 magneto switch position	Shared Cockpit
KEY_MAGNETO4_DECR	MAGNETO4_DECR	Decrease engine 4 magneto switch position	Shared Cockpit
KEY_MAGNETO4_INCR	MAGNETO4_INCR	Increase engine 4 magneto switch position	Shared Cockpit
KEY_MAGNETO_SET	Not supported	Set engine magneto switches	Shared Cockpit
KEY_MAGNETO1_SET	MAGNETO1_SET	Set engine 1 magneto switch	Shared Cockpit
KEY_MAGNETO2_SET	MAGNETO2_SET	Set engine 2 magneto switch	Shared Cockpit
KEY_MAGNETO3_SET	MAGNETO3_SET	Set engine 3 magneto switch	Shared Cockpit
KEY_MAGNETO4_SET	MAGNETO4_SET	Set engine 4 magneto switch	Shared Cockpit
KEY_ANTI_ICE_ON	ANTI_ICE_ON	Sets anti-ice switches on	Shared Cockpit
KEY_ANTI_ICE_OFF	ANTI_ICE_OFF	Sets anti-ice switches off	Shared Cockpit
KEY_ANTI_ICE_SET	ANTI_ICE_SET	Sets anti-ice switches from argument (0,1)	Shared Cockpit
KEY_ANTI_ICE_TOGGLE	ANTI_ICE_TOGGLE	Toggle anti-ice switches	Shared Cockpit
KEY_ANTI_ICE_TOGGLE_ENG1	ANTI_ICE_TOGGLE_ENG1	Toggle engine 1 anti-ice switch	Shared Cockpit
KEY_ANTI_ICE_TOGGLE_ENG2	ANTI_ICE_TOGGLE_ENG2	Toggle engine 2 anti-ice switch	Shared Cockpit
KEY_ANTI_ICE_TOGGLE_ENG3	ANTI_ICE_TOGGLE_ENG3	Toggle engine 3 anti-ice switch	Shared Cockpit
KEY_ANTI_ICE_TOGGLE_ENG4	ANTI_ICE_TOGGLE_ENG4	Toggle engine 4 anti-ice switch	Shared Cockpit
KEY_ANTI_ICE_SET_ENG1	ANTI_ICE_SET_ENG1	Sets engine 1 anti-ice switch (0,1)	Shared Cockpit
KEY_ANTI_ICE_SET_ENG2	ANTI_ICE_SET_ENG2	Sets engine 2 anti-ice switch (0,1)	Shared Cockpit
KEY_ANTI_ICE_SET_ENG3	ANTI_ICE_SET_ENG3	Sets engine 3 anti-ice switch (0,1)	Shared Cockpit
KEY_ANTI_ICE_SET_ENG4	ANTI_ICE_SET_ENG4	Sets engine 4 anti-ice switch (0,1)	Shared Cockpit
KEY_TOGGLE_FUEL_VALVE_ALL	TOGGLE_FUEL_VALVE_ALL	Toggle engine fuel valves	Shared Cockpit
KEY_TOGGLE_FUEL_VALVE_ENG1	TOGGLE_FUEL_VALVE_ENG1	Toggle engine 1 fuel valve	All aircraft
KEY_TOGGLE_FUEL_VALVE_ENG2	TOGGLE_FUEL_VALVE_ENG2	Toggle engine 2 fuel valve	All aircraft
KEY_TOGGLE_FUEL_VALVE_ENG3	TOGGLE_FUEL_VALVE_ENG3	Toggle engine 3 fuel valve	All aircraft
KEY_TOGGLE_FUEL_VALVE_ENG4	TOGGLE_FUEL_VALVE_ENG4	Toggle engine 4 fuel valve	All aircraft
KEY_COWLFLAP1_SET	COWLFLAP1_SET	Sets engine 1 cowl flap lever position (0 to 16383)	Shared Cockpit
KEY_COWLFLAP2_SET	COWLFLAP2_SET	Sets engine 2 cowl flap lever position (0 to 16383)	Shared Cockpit
KEY_COWLFLAP3_SET	COWLFLAP3_SET	Sets engine 3 cowl flap lever position (0 to 16383)	Shared Cockpit
KEY_COWLFLAP4_SET	COWLFLAP4_SET	Sets engine 4 cowl flap lever position (0 to 16383)	Shared Cockpit
KEY_INC_COWL_FLAPS	INC_COWL_FLAPS	Increment cowl flap levers	Shared Cockpit
KEY_DEC_COWL_FLAPS	DEC_COWL_FLAPS	Decrement cowl flap levers	Shared Cockpit
KEY_INC_COWL_FLAPS1	INC_COWL_FLAPS1	Increment engine 1 cowl flap lever	Shared Cockpit
KEY_DEC_COWL_FLAPS1	DEC_COWL_FLAPS1	Decrement engine 1 cowl flap lever	Shared Cockpit
KEY_INC_COWL_FLAPS2	INC_COWL_FLAPS2	Increment engine 2 cowl flap lever	Shared Cockpit
KEY_DEC_COWL_FLAPS2	DEC_COWL_FLAPS2	Decrement engine 2 cowl flap lever	Shared Cockpit
KEY_INC_COWL_FLAPS3	INC_COWL_FLAPS3	Increment engine 3 cowl flap lever	Shared Cockpit
KEY_DEC_COWL_FLAPS3	DEC_COWL_FLAPS3	Decrement engine 3 cowl flap lever	Shared Cockpit
KEY_INC_COWL_FLAPS4	INC_COWL_FLAPS4	Increment engine 4 cowl flap lever	Shared Cockpit
KEY_DEC_COWL_FLAPS4	DEC_COWL_FLAPS4	Decrement engine 4 cowl flap lever	Shared Cockpit
KEY_FUEL_PUMP	FUEL_PUMP	Toggle electric fuel pumps	Shared Cockpit
KEY_TOGGLE_ELECT_FUEL_PUMP	TOGGLE_ELECT_FUEL_PUMP	Toggle electric fuel pumps	Shared Cockpit
KEY_TOGGLE_ELECT_FUEL_PUMP1	TOGGLE_ELECT_FUEL_PUMP1	Toggle engine 1 electric fuel pump	All aircraft
KEY_TOGGLE_ELECT_FUEL_PUMP2	TOGGLE_ELECT_FUEL_PUMP2	Toggle engine 2 electric fuel pump	All aircraft
KEY_TOGGLE_ELECT_FUEL_PUMP3	TOGGLE_ELECT_FUEL_PUMP3	Toggle engine 3 electric fuel pump	All aircraft
KEY_TOGGLE_ELECT_FUEL_PUMP4	TOGGLE_ELECT_FUEL_PUMP4	Toggle engine 4 electric fuel pump	All aircraft
KEY_ENGINE_PRIMER	ENGINE_PRIMER	Trigger engine primers	Shared Cockpit
KEY_TOGGLE_PRIMER	TOGGLE_PRIMER	Trigger engine primers	Shared Cockpit
KEY_TOGGLE_PRIMER1	TOGGLE_PRIMER1	Trigger engine 1 primer	Shared Cockpit
KEY_TOGGLE_PRIMER2	TOGGLE_PRIMER2	Trigger engine 2 primer	Shared Cockpit
KEY_TOGGLE_PRIMER3	TOGGLE_PRIMER3	Trigger engine 3 primer	Shared Cockpit
