Event ID	SimConnect Name	Description	Multiplayer
KEY_TOGGLE_PRIMER4	TOGGLE_PRIMER4	Trigger engine 4 primer	Shared Cockpit
KEY_TOGGLE_FEATHER_SWITCHES	TOGGLE_FEATHER_SWITCHES	Trigger propeller switches	Shared Cockpit
KEY_TOGGLE_FEATHER_SWITCH_1	TOGGLE_FEATHER_SWITCH_1	Trigger propeller 1 switch	Shared Cockpit
KEY_TOGGLE_FEATHER_SWITCH_2	TOGGLE_FEATHER_SWITCH_2	Trigger propeller 2 switch	Shared Cockpit
KEY_TOGGLE_FEATHER_SWITCH_3	TOGGLE_FEATHER_SWITCH_3	Trigger propeller 3 switch	Shared Cockpit
KEY_TOGGLE_FEATHER_SWITCH_4	TOGGLE_FEATHER_SWITCH_4	Trigger propeller 4 switch	Shared Cockpit
KEY_TOGGLE_PROP_SYNC	TOGGLE_PROPELLER_SYNC	Turns propeller synchronization switch on	Shared Cockpit
KEY_TOGGLE_ARM_AUTOFEATHER	TOGGLE_AUTOFEATHER_ARM	Turns auto-feather arming switch on.	Shared Cockpit
KEY_TOGGLE_AFTERBURNER	TOGGLE_AFTERBURNER	Toggles afterburners	Shared Cockpit
KEY_TOGGLE_AFTERBURNER1	TOGGLE_AFTERBURNER1	Toggles engine 1 afterburner	Shared Cockpit
KEY_TOGGLE_AFTERBURNER2	TOGGLE_AFTERBURNER2	Toggles engine 2 afterburner	Shared Cockpit
KEY_TOGGLE_AFTERBURNER3	TOGGLE_AFTERBURNER3	Toggles engine 3 afterburner	Shared Cockpit
KEY_TOGGLE_AFTERBURNER4	TOGGLE_AFTERBURNER4	Toggles engine 4 afterburner	Shared Cockpit
KEY_ENGINE	ENGINE	Sets engines for 1,2,3,4 selection (to be followed by SELECT_n)	Shared Cockpit
Event ID	String Name	Description	Multiplayer
KEY_SPOILERS_TOGGLE	SPOILERS_TOGGLE	Toggles spoiler handle	All aircraft
KEY_FLAPS_UP	FLAPS_UP	Sets flap handle to full retract position	All aircraft
KEY_FLAPS_1	FLAPS_1	Sets flap handle to first extension position	All aircraft
KEY_FLAPS_2	FLAPS_2	Sets flap handle to second extension position	All aircraft
KEY_FLAPS_3	FLAPS_3	Sets flap handle to third extension position	All aircraft
KEY_FLAPS_DOWN	FLAPS_DOWN	Sets flap handle to full extension position	All aircraft
KEY_ELEV_TRIM_DN	ELEV_TRIM_DN	Increments elevator trim down	Shared Cockpit
KEY_ELEV_DOWN	ELEV_DOWN	Increments elevator down	Shared Cockpit (Pilot only).
KEY_AILERONS_LEFT	AILERONS_LEFT	Increments ailerons left	Shared Cockpit (Pilot only).
KEY_CENTER_AILER_RUDDER	CENTER_AILER_RUDDER	Centers aileron and rudder positions	Shared Cockpit
KEY_AILERONS_RIGHT	AILERONS_RIGHT	Increments ailerons right	Shared Cockpit (Pilot only).
KEY_ELEV_TRIM_UP	ELEV_TRIM_UP	Increment elevator trim up	Shared Cockpit
KEY_ELEV_UP	ELEV_UP	Increments elevator up	Shared Cockpit (Pilot only).
KEY_ELEVATOR_DOWN	Unsupported	Increments elevator down	Shared Cockpit
KEY_ELEVATOR_UP	Unsupported	Increments elevator up	Shared Cockpit
KEY_AILERON_LEFT	Unsupported	Increments ailerons left	Shared Cockpit
KEY_AILERON_CENTER	Unsupported	Centers aileron position	Shared Cockpit
KEY_AILERON_RIGHT	Unsupported	Increments ailerons right	Shared Cockpit
KEY_RUDDER_LEFT	RUDDER_LEFT	Increments rudder left	Shared Cockpit
KEY_RUDDER_CENTER	RUDDER_CENTER	Centers rudder position	Shared Cockpit
KEY_RUDDER_RIGHT	RUDDER_RIGHT	Increments rudder right	Shared Cockpit
KEY_ELEVATOR_SET	ELEVATOR_SET	Sets elevator position (-16383 - +16383)	Shared Cockpit
KEY_AILERON_SET	AILERON_SET	Sets aileron position (-16383 - +16383)	Shared Cockpit
KEY_RUDDER_SET	RUDDER_SET	Sets rudder position (-16383 - +16383)	Shared Cockpit
KEY_FLAPS_INCR	FLAPS_INCR	Increments flap handle position	All aircraft
KEY_FLAPS_DECR	FLAPS_DECR	Decrements flap handle position	All aircraft
KEY_AXIS_ELEVATOR_SET	AXIS_ELEVATOR_SET	Sets elevator position (-16383 - +16383)	Shared Cockpit (Pilot only, and not transmitted to Co-pilot)
KEY_AXIS_AILERONS_SET	AXIS_AILERONS_SET	Sets aileron position (-16383 - +16383)	Shared Cockpit (Pilot only, and not transmitted to Co-pilot)
KEY_AXIS_RUDDER_SET	AXIS_RUDDER_SET	Sets rudder position (-16383 - +16383)	Shared Cockpit (Pilot only, and not transmitted to Co-pilot)
KEY_AXIS_ELEV_TRIM_SET	AXIS_ELEV_TRIM_SET	Sets elevator trim position (-16383 - +16383)	Shared Cockpit
KEY_SPOILERS_SET	SPOILERS_SET	Sets spoiler handle position (0 to 16383)	All aircraft
KEY_SPOILERS_ARM_TOGGLE	SPOILERS_ARM_TOGGLE	Toggles arming of auto-spoilers	All aircraft
KEY_SPOILERS_ON	SPOILERS_ON	Sets spoiler handle to full extend position	All aircraft
KEY_SPOILERS_OFF	SPOILERS_OFF	Sets spoiler handle to full retract position	All aircraft
KEY_SPOILERS_ARM_ON	SPOILERS_ARM_ON	Sets auto-spoiler arming on	All aircraft
KEY_SPOILERS_ARM_OFF	SPOILERS_ARM_OFF	Sets auto-spoiler arming off	All aircraft
KEY_SPOILERS_ARM_SET	SPOILERS_ARM_SET	Sets auto-spoiler arming (0,1)	All aircraft
KEY_AILERON_TRIM_LEFT	AILERON_TRIM_LEFT	Increments aileron trim left	Shared Cockpit
KEY_AILERON_TRIM_RIGHT	AILERON_TRIM_RIGHT	Increments aileron trim right	Shared Cockpit
KEY_RUDDER_TRIM_LEFT	RUDDER_TRIM_LEFT	Increments rudder trim left	Shared Cockpit
KEY_RUDDER_TRIM_RIGHT	RUDDER_TRIM_RIGHT	Increments aileron trim right	Shared Cockpit
KEY_AXIS_SPOILER_SET	AXIS_SPOILER_SET	Sets spoiler handle position (-16383 - +16383)	All aircraft
KEY_FLAPS_SET	FLAPS_SET	Sets flap handle to closest increment (0 to 16383)	All aircraft
KEY_ELEVATOR_TRIM_SET	ELEVATOR_TRIM_SET	Sets elevator trim position (0 to 16383)	Shared Cockpit
KEY_AXIS_FLAPS_SET	AXIS_FLAPS_SET	Sets flap handle to closest increment (-16383 - +16383)	Shared Cockpit
Event ID	String Name	Description	Multiplayer
KEY_AP_MASTER	AP_MASTER	Toggles AP on/off	Shared Cockpit
KEY_AUTOPILOT_OFF	AUTOPILOT_OFF	Turns AP off	Shared Cockpit
KEY_AUTOPILOT_ON	AUTOPILOT_ON	Turns AP on	Shared Cockpit
KEY_YAW_DAMPER_TOGGLE	YAW_DAMPER_TOGGLE	Toggles yaw damper on/off	Shared Cockpit
KEY_AP_PANEL_HEADING_HOLD	AP_PANEL_HEADING_HOLD	Toggles heading hold mode on/off	Shared Cockpit
KEY_AP_PANEL_ALTITUDE_HOLD	AP_PANEL_ALTITUDE_HOLD	Toggles altitude hold mode on/off	Shared Cockpit
KEY_AP_ATT_HOLD_ON	AP_ATT_HOLD_ON	Turns on AP wing leveler and pitch hold mode	Shared Cockpit
KEY_AP_LOC_HOLD_ON	AP_LOC_HOLD_ON	Turns AP localizer hold on/armed and glide-slope hold mode off	Shared Cockpit
KEY_AP_APR_HOLD_ON	AP_APR_HOLD_ON	Turns both AP localizer and glide-slope modes on/armed	Shared Cockpit
KEY_AP_HDG_HOLD_ON	AP_HDG_HOLD_ON	Turns heading hold mode on	Shared Cockpit
KEY_AP_ALT_HOLD_ON	AP_ALT_HOLD_ON	Turns altitude hold mode on	Shared Cockpit
KEY_AP_WING_LEVELER_ON	AP_WING_LEVELER_ON	Turns wing leveler mode on	Shared Cockpit
KEY_AP_BC_HOLD_ON	AP_BC_HOLD_ON	Turns localizer back course hold mode on/armed	Shared Cockpit
KEY_AP_NAV1_HOLD_ON	AP_NAV1_HOLD_ON	Turns lateral hold mode on	Shared Cockpit
KEY_AP_ATT_HOLD_OFF	AP_ATT_HOLD_OFF	Turns off attitude hold mode	Shared Cockpit
KEY_AP_LOC_HOLD_OFF	AP_LOC_HOLD_OFF	Turns off localizer hold mode	Shared Cockpit
KEY_AP_APR_HOLD_OFF	AP_APR_HOLD_OFF	Turns off approach hold mode	Shared Cockpit
KEY_AP_HDG_HOLD_OFF	AP_HDG_HOLD_OFF	Turns off heading hold mode	Shared Cockpit
KEY_AP_ALT_HOLD_OFF	AP_ALT_HOLD_OFF	Turns off altitude hold mode	Shared Cockpit
KEY_AP_WING_LEVELER_OFF	AP_WING_LEVELER_OFF	Turns off wing leveler mode	Shared Cockpit
KEY_AP_BC_HOLD_OFF	AP_BC_HOLD_OFF	Turns off backcourse mode for localizer hold	Shared Cockpit
KEY_AP_NAV1_HOLD_OFF	AP_NAV1_HOLD_OFF	Turns off nav hold mode	Shared Cockpit
KEY_AP_AIRSPEED_HOLD	AP_AIRSPEED_HOLD	Toggles airspeed hold mode	Shared Cockpit
KEY_AUTO_THROTTLE_ARM	AUTO_THROTTLE_ARM	Toggles autothrottle arming mode	Shared Cockpit
KEY_AUTO_THROTTLE_TO_GA	AUTO_THROTTLE_TO_GA	Toggles Takeoff/Go Around mode	Shared Cockpit
KEY_HEADING_BUG_INC	HEADING_BUG_INC	Increments heading hold reference bug	Shared Cockpit
KEY_HEADING_BUG_DEC	HEADING_BUG_DEC	Decrements heading hold reference bug	Shared Cockpit
KEY_HEADING_BUG_SET	HEADING_BUG_SET	Set heading hold reference bug (degrees)	Shared Cockpit
KEY_AP_PANEL_SPEED_HOLD	AP_PANEL_SPEED_HOLD	Toggles airspeed hold mode	Shared Cockpit
KEY_AP_ALT_VAR_INC	AP_ALT_VAR_INC	Increments reference altitude	Shared Cockpit
KEY_AP_ALT_VAR_DEC	AP_ALT_VAR_DEC	Decrements reference altitude	Shared Cockpit
KEY_AP_VS_VAR_INC	AP_VS_VAR_INC	Increments vertical speed reference	Shared Cockpit
KEY_AP_VS_VAR_DEC	AP_VS_VAR_DEC	Decrements vertical speed reference	Shared Cockpit
KEY_AP_SPD_VAR_INC	AP_SPD_VAR_INC	Increments airspeed hold reference	Shared Cockpit
KEY_AP_SPD_VAR_DEC	AP_SPD_VAR_DEC	Decrements airspeed hold reference	Shared Cockpit
KEY_AP_PANEL_MACH_HOLD	AP_PANEL_MACH_HOLD	Toggles mach hold	Shared Cockpit
KEY_AP_MACH_VAR_INC	AP_MACH_VAR_INC	Increments reference mach	Shared Cockpit
KEY_AP_MACH_VAR_DEC	AP_MACH_VAR_DEC	Decrements reference mach	Shared Cockpit
KEY_AP_MACH_HOLD	AP_MACH_HOLD	Toggles mach hold	Shared Cockpit
KEY_AP_ALT_VAR_SET_METRIC	AP_ALT_VAR_SET_METRIC	Sets reference altitude in meters	Shared Cockpit
KEY_AP_VS_VAR_SET_ENGLISH	AP_VS_VAR_SET_ENGLISH	Sets reference vertical speed in feet per minute	Shared Cockpit
KEY_AP_SPD_VAR_SET	AP_SPD_VAR_SET	Sets airspeed reference in knots	Shared Cockpit
KEY_AP_MACH_VAR_SET	AP_MACH_VAR_SET	Sets mach reference	Shared Cockpit
KEY_YAW_DAMPER_ON	YAW_DAMPER_ON	Turns yaw damper on	Shared Cockpit
KEY_YAW_DAMPER_OFF	YAW_DAMPER_OFF	Turns yaw damper off	Shared Cockpit
KEY_YAW_DAMPER_SET	YAW_DAMPER_SET	Sets yaw damper on/off (1,0)	Shared Cockpit
KEY_AP_AIRSPEED_ON	AP_AIRSPEED_ON	Turns airspeed hold on	Shared Cockpit
KEY_AP_AIRSPEED_OFF	AP_AIRSPEED_OFF	Turns airspeed hold off	Shared Cockpit
KEY_AP_AIRSPEED_SET	AP_AIRSPEED_SET	Sets airspeed hold on/off (1,0)	Shared Cockpit
KEY_AP_MACH_ON	AP_MACH_ON	Turns mach hold on	Shared Cockpit
KEY_AP_MACH_OFF	AP_MACH_OFF	Turns mach hold off	Shared Cockpit
KEY_AP_MACH_SET	AP_MACH_SET	Sets mach hold on/off (1,0)	Shared Cockpit
KEY_AP_PANEL_ALTITUDE_ON	AP_PANEL_ALTITUDE_ON	Turns altitude hold mode on (without capturing current altitude)	Shared Cockpit
KEY_AP_PANEL_ALTITUDE_OFF	AP_PANEL_ALTITUDE_OFF	Turns altitude hold mode off	Shared Cockpit
KEY_AP_PANEL_ALTITUDE_SET	AP_PANEL_ALTITUDE_SET	Sets altitude hold mode on/off (1,0)	Shared Cockpit
KEY_AP_PANEL_HEADING_ON	AP_PANEL_HEADING_ON	Turns heading mode on (without capturing current heading)	Shared Cockpit
KEY_AP_PANEL_HEADING_OFF	AP_PANEL_HEADING_OFF	Turns heading mode off	Shared Cockpit
KEY_AP_PANEL_HEADING_SET	AP_PANEL_HEADING_SET	Set heading mode on/off (1,0)	Shared Cockpit
KEY_AP_PANEL_MACH_ON	AP_PANEL_MACH_ON	Turns on mach hold	Shared Cockpit
KEY_AP_PANEL_MACH_OFF	AP_PANEL_MACH_OFF	Turns off mach hold	Shared Cockpit
KEY_AP_PANEL_MACH_SET	AP_PANEL_MACH_SET	Sets mach hold on/off (1,0)	Shared Cockpit
KEY_AP_PANEL_SPEED_ON	AP_PANEL_SPEED_ON	Turns on speed hold mode	Shared Cockpit
KEY_AP_PANEL_SPEED_OFF	AP_PANEL_SPEED_OFF	Turns off speed hold mode	Shared Cockpit
KEY_AP_PANEL_SPEED_SET	AP_PANEL_SPEED_SET	Set speed hold mode on/off (1,0)	Shared Cockpit
KEY_AP_ALT_VAR_SET_ENGLISH	AP_ALT_VAR_SET_ENGLISH	Sets altitude reference in feet	Shared Cockpit
KEY_AP_VS_VAR_SET_METRIC	AP_VS_VAR_SET_METRIC	Sets vertical speed reference in meters per minute	Shared Cockpit
KEY_TOGGLE_FLIGHT_DIRECTOR	TOGGLE_FLIGHT_DIRECTOR	Toggles flight director on/off	Shared Cockpit
KEY_SYNC_FLIGHT_DIRECTOR_PITCH	SYNC_FLIGHT_DIRECTOR_PITCH	Synchronizes flight director pitch with current aircraft pitch	Shared Cockpit
KEY_INC_AUTOBRAKE_CONTROL	INCREASE_AUTOBRAKE_CONTROL	Increments autobrake level	Shared Cockpit
KEY_DEC_AUTOBRAKE_CONTROL	DECREASE_AUTOBRAKE_CONTROL	Decrements autobrake level	Shared Cockpit
KEY_AUTOPILOT_AIRSPEED_HOLD_CURRENT	AP_PANEL_SPEED_HOLD_TOGGLE	Turns airspeed hold mode on with current airspeed	Shared Cockpit
KEY_AUTOPILOT_PANEL_AIRSPEED_SET	Unsupported	Sets airspeed reference to current airspeed	Shared Cockpit
KEY_AUTOPILOT_MACH_HOLD_CURRENT	AP_PANEL_MACH_HOLD_TOGGLE	Sets mach hold reference to current mach	Shared Cockpit
KEY_AP_NAV_SELECT_SET	AP_NAV_SELECT_SET	Sets the nav (1 or 2) which is used by the Nav hold modes	Shared Cockpit
KEY_HEADING_BUG_SELECT	HEADING_BUG_SELECT	Selects the heading bug for use with +/-	Shared Cockpit
KEY_ALTITUDE_BUG_SELECT	ALTITUDE_BUG_SELECT	Selects the altitude reference for use with +/-	Shared Cockpit
KEY_VSI_BUG_SELECT	VSI_BUG_SELECT	Selects the vertical speed reference for use with +/-	Shared Cockpit
KEY_AIRSPEED_BUG_SELECT	AIRSPEED_BUG_SELECT	Selects the airspeed reference for use with +/-	Shared Cockpit
KEY_AP_PITCH_REF_INC_UP	AP_PITCH_REF_INC_UP	Increments the pitch reference for pitch hold mode	Shared Cockpit
KEY_AP_PITCH_REF_INC_DN	AP_PITCH_REF_INC_DN	Decrements the pitch reference for pitch hold mode	Shared Cockpit
KEY_AP_PITCH_REF_SELECT	AP_PITCH_REF_SELECT	Selects pitch reference for use with +/-	Shared Cockpit
KEY_AP_ATT_HOLD	AP_ATT_HOLD	Toggle attitude hold mode	Shared Cockpit
KEY_AP_LOC_HOLD	AP_LOC_HOLD	Toggles localizer (only) hold mode	Shared Cockpit
KEY_AP_APR_HOLD	AP_APR_HOLD	Toggles approach hold (localizer and glide-slope)	Shared Cockpit
KEY_AP_HDG_HOLD	AP_HDG_HOLD	Toggles heading hold mode	Shared Cockpit
KEY_AP_ALT_HOLD	AP_ALT_HOLD	Toggles altitude hold mode	Shared Cockpit
KEY_AP_WING_LEVELER	AP_WING_LEVELER	Toggles wing leveler mode	Shared Cockpit
KEY_AP_BC_HOLD	AP_BC_HOLD	Toggles the backcourse mode for the localizer hold	Shared Cockpit
KEY_AP_NAV1_HOLD	AP_NAV1_HOLD	Toggles the nav hold mode	Shared Cockpit
KEY_AP_MAX_BANK_INC	AP_MAX_BANK_INC	Autopilot max bank angle increment.	Shared Cockpit
KEY_AP_MAX_BANK_DEC	AP_MAX_BANK_DEC	Autopilot max bank angle decrement.	Shared Cockpit
KEY_AP_N1_HOLD	AP_N1_HOLD	Autopilot, hold the N1 percentage at its current level.	Shared Cockpit
KEY_AP_N1_REF_INC	AP_N1_REF_INC	Increment the autopilot N1 reference.	Shared Cockpit
KEY_AP_N1_REF_DEC	AP_N1_REF_DEC	Decrement the autopilot N1 reference.	Shared Cockpit
KEY_AP_N1_REF_SET	AP_N1_REF_SET	Sets the autopilot N1 reference.	Shared Cockpit
KEY_FLY_BY_WIRE_ELAC_TOGGLE	FLY_BY_WIRE_ELAC_TOGGLE	Turn on or off the fly by wire Elevators and Ailerons computer.	Shared Cockpit
KEY_FLY_BY_WIRE_FAC_TOGGLE	FLY_BY_WIRE_FAC_TOGGLE	Turn on or off the fly by wire Flight Augmentation computer.	Shared Cockpit
KEY_FLY_BY_WIRE_SEC_TOGGLE	FLY_BY_WIRE_SEC_TOGGLE	Turn on or off the fly by wire Spoilers and Elevators computer.	Shared Cockpit
KEY_G1000_PFD_FLIGHTPLAN_BUTTON	G1000_PFD_FLIGHTPLAN_BUTTON	The primary flight display (PFD) should display its current flight plan.	Shared Cockpit
KEY_G1000_PFD_PROCEDURE_BUTTON	G1000_PFD_PROCEDURE_BUTTON	Turn to the Procedure page.	Shared Cockpit
KEY_G1000_PFD_ZOOMIN_BUTTON	G1000_PFD_ZOOMIN_BUTTON	Zoom in on the current map.	Shared Cockpit
KEY_G1000_PFD_ZOOMOUT_BUTTON	G1000_PFD_ZOOMOUT_BUTTON	Zoom out on the current map.	Shared Cockpit
KEY_G1000_PFD_DIRECTTO_BUTTON	G1000_PFD_DIRECTTO_BUTTON	Turn to the Direct To page.	Shared Cockpit
KEY_G1000_PFD_MENU_BUTTON	G1000_PFD_MENU_BUTTON	If a segmented flight plan is highlighted, activates the associated menu.	Shared Cockpit
KEY_G1000_PFD_CLEAR_BUTTON	G1000_PFD_CLEAR_BUTTON	Clears the current input.	Shared Cockpit
KEY_G1000_PFD_ENTER_BUTTON	G1000_PFD_ENTER_BUTTON	Enters the current input.	Shared Cockpit
KEY_G1000_PFD_CURSOR_BUTTON	G1000_PFD_CURSOR_BUTTON	Turns on or off a screen cursor.	Shared Cockpit
KEY_G1000_PFD_GROUP_KNOB_INC	G1000_PFD_GROUP_KNOB_INC	Step up through the page groups.	Shared Cockpit
KEY_G1000_PFD_GROUP_KNOB_DEC	G1000_PFD_GROUP_KNOB_DEC	Step down through the page groups.	Shared Cockpit
KEY_G1000_PFD_PAGE_KNOB_INC	G1000_PFD_PAGE_KNOB_INC	Step up through the individual pages.	Shared Cockpit
KEY_G1000_PFD_PAGE_KNOB_DEC	G1000_PFD_PAGE_KNOB_DEC	Step down through the individual pages.	Shared Cockpit
KEY_G1000_PFD_SOFTKEY1, to KEY_G1000_PFD_SOFTKEY12	G1000_PFD_SOFTKEY1, to G1000_PFD_SOFTKEY12	Initiate the action for the icon displayed in the softkey position.	Shared Cockpit
Event ID	String Name	Description	Multiplayer
KEY_G1000_MFD_FLIGHTPLAN_BUTTON	G1000_MFD_FLIGHTPLAN_BUTTON	The multi-function display (MFD) should display its current flight plan.	Shared Cockpit
KEY_G1000_MFD_PROCEDURE_BUTTON	G1000_MFD_PROCEDURE_BUTTON	Turn to the Procedure page.	Shared Cockpit
KEY_G1000_MFD_ZOOMIN_BUTTON	G1000_MFD_ZOOMIN_BUTTON	Zoom in on the current map.	Shared Cockpit
KEY_G1000_MFD_ZOOMOUT_BUTTON	G1000_MFD_ZOOMOUT_BUTTON	Zoom out on the current map.	Shared Cockpit
KEY_G1000_MFD_DIRECTTO_BUTTON	G1000_MFD_DIRECTTO_BUTTON	Turn to the Direct To page.	Shared Cockpit
KEY_G1000_MFD_MENU_BUTTON	G1000_MFD_MENU_BUTTON	If a segmented flight plan is highlighted, activates the associated menu.	Shared Cockpit
KEY_G1000_MFD_CLEAR_BUTTON	G1000_MFD_CLEAR_BUTTON	Clears the current input.	Shared Cockpit
KEY_G1000_MFD_ENTER_BUTTON	G1000_MFD_ENTER_BUTTON	Enters the current input.	Shared Cockpit
KEY_G1000_MFD_CURSOR_BUTTON	G1000_MFD_CURSOR_BUTTON	Turns on or off a screen cursor.	Shared Cockpit
KEY_G1000_MFD_GROUP_KNOB_INC	G1000_MFD_GROUP_KNOB_INC	Step up through the page groups.	Shared Cockpit
KEY_G1000_MFD_GROUP_KNOB_DEC	G1000_MFD_GROUP_KNOB_DEC	Step down through the page groups.	Shared Cockpit
KEY_G1000_MFD_PAGE_KNOB_INC	G1000_MFD_PAGE_KNOB_INC	Step up through the individual pages.	Shared Cockpit
KEY_G1000_MFD_PAGE_KNOB_DEC	G1000_MFD_PAGE_KNOB_DEC	Step down through the individual pages.	Shared Cockpit
KEY_G1000_MFD_SOFTKEY1, to KEY_G1000_MFD_SOFTKEY12	G1000_MFD_SOFTKEY1, to G1000_MFD_SOFTKEY2	Initiate the action for the icon displayed in the softkey position.	Shared Cockpit
Event ID	String Name	Description	Multiplayer
KEY_FUEL_SELECTOR_OFF	FUEL_SELECTOR_OFF	Turns selector 1 to OFF position	Shared Cockpit
KEY_FUEL_SELECTOR_ALL	FUEL_SELECTOR_ALL	Turns selector 1 to ALL position	Shared Cockpit
KEY_FUEL_SELECTOR_LEFT	FUEL_SELECTOR_LEFT	Turns selector 1 to LEFT position (burns from tip then aux then main)	Shared Cockpit
KEY_FUEL_SELECTOR_RIGHT	FUEL_SELECTOR_RIGHT	Turns selector 1 to RIGHT position (burns from tip then aux then main)	Shared Cockpit
KEY_FUEL_SELECTOR_LEFT_AUX	FUEL_SELECTOR_LEFT_AUX	Turns selector 1 to LEFT AUX position	Shared Cockpit
KEY_FUEL_SELECTOR_RIGHT_AUX	FUEL_SELECTOR_RIGHT_AUX	Turns selector 1 to RIGHT AUX position	Shared Cockpit
KEY_FUEL_SELECTOR_CENTER	FUEL_SELECTOR_CENTER	Turns selector 1 to CENTER position	Shared Cockpit
KEY_FUEL_SELECTOR_SET	FUEL_SELECTOR_SET	Sets selector 1 position (see code list below)	Shared Cockpit
KEY_FUEL_SELECTOR_2_OFF	FUEL_SELECTOR_2_OFF	Turns selector 2 to OFF position	Shared Cockpit
KEY_FUEL_SELECTOR_2_ALL	FUEL_SELECTOR_2_ALL	Turns selector 2 to ALL position	Shared Cockpit
KEY_FUEL_SELECTOR_2_LEFT	FUEL_SELECTOR_2_LEFT	Turns selector 2 to LEFT position (burns from tip then aux then main)	Shared Cockpit
KEY_FUEL_SELECTOR_2_RIGHT	FUEL_SELECTOR_2_RIGHT	Turns selector 2 to RIGHT position (burns from tip then aux then main)	Shared Cockpit
KEY_FUEL_SELECTOR_2_LEFT_AUX	FUEL_SELECTOR_2_LEFT_AUX	Turns selector 2 to LEFT AUX position	Shared Cockpit
KEY_FUEL_SELECTOR_2_RIGHT_AUX	FUEL_SELECTOR_2_RIGHT_AUX	Turns selector 2 to RIGHT AUX position	Shared Cockpit
KEY_FUEL_SELECTOR_2_CENTER	FUEL_SELECTOR_2_CENTER	Turns selector 2 to CENTER position	Shared Cockpit
